              4   3
      635.000
      1210.00
      2155.00
      2800.00
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
    1.088728E-01    1.128728E-01    1.148728E-01    1.122061E-01
    1.085938E-01    1.125938E-01    1.145938E-01    1.119271E-01
    1.083147E-01    1.123147E-01    1.143147E-01    1.116481E-01
    1.080357E-01    1.120357E-01    1.140357E-01    1.113691E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.080000E-01    1.120000E-01    1.140000E-01    1.113333E-01
    1.079152E-01    1.119152E-01    1.139152E-01    1.112485E-01
    1.076362E-01    1.116362E-01    1.136362E-01    1.109695E-01
    1.073571E-01    1.113571E-01    1.133571E-01    1.106905E-01
    1.070781E-01    1.110781E-01    1.130781E-01    1.104115E-01
    1.070000E-01    1.110000E-01    1.130000E-01    1.103333E-01
    1.070000E-01    1.110000E-01    1.130000E-01    1.103333E-01
    1.070000E-01    1.110000E-01    1.130000E-01    1.103333E-01
    1.069576E-01    1.109576E-01    1.129576E-01    1.102909E-01
    1.066786E-01    1.106786E-01    1.126786E-01    1.100119E-01
    1.063996E-01    1.103996E-01    1.123996E-01    1.097329E-01
    1.061205E-01    1.101205E-01    1.121205E-01    1.094539E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.060000E-01    1.100000E-01    1.120000E-01    1.093333E-01
    1.058839E-01    1.098839E-01    1.118839E-01    1.092172E-01
    1.056049E-01    1.096049E-01    1.116049E-01    1.089382E-01
    1.053259E-01    1.093259E-01    1.113259E-01    1.086592E-01
    1.050469E-01    1.090469E-01    1.110469E-01    1.083802E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
